addr,chargeTp,cpNm,csId,csNm
경기도 수원시 영통구 창룡대로 236-31 지상 1층 주차장,2,급속01,305,경기전력관리처
경기도 의왕시 시청로 11 시청 정문 우측 지상 주차장,2,급속01,397,의왕시청
경기도 이천시 창전동 144-1 지상 주자창 좌측,2,급속01,30,이천지사
경기도 양평군 강상면 교평리 396-1 주차장(정문에서 좌측),2,급속01,301,양평지사
경기도 의정부시 용민로 19번길 92 1층주차장(입구에서 좌측),2,급속01,298,경기북부직할
경기도 양주시 덕정길 67 1층주차장(정면),2,급속01,391,회천1동주민센터
경기도 안산시 단원구 원고잔로 25 지사 후문 지상주차장 중심부근,1,완속07,26,안산지사(공용)
경기도 수원시 팔달구 인계동 333 지상1F 주차장,2,급속02,343,수원시청소년문화센터
경기도 오산시 남부대로 334 지상주차장,2,급속01,28,오산지사
경기도 고양시 덕양구 용현로 48 지상주차장,2,급속01,2043,여성회관(행신동)
경기도 용인시 처인구 마평동 533-8 지상주차장,2,급속01,2457,동부동주민센터
경기도 안양시 동안구 동안로 162 B2 B37,2,급속01,2060,홈플러스 평촌점
경기도 수원시 장안구 영화동 230-3 지상1F 주차장,2,급속01,228,영화동 공영주차장
경기도 성남시 수정구 제일로 202 지상주차장 정면,2,급속01,25,성남지사(공용)
경기도 가평군 가평읍 가화로 169-11 1층주차장(정면),2,급속01,303,가평지사
경기도 수원시 영통구 봉영로 1598 B2F B2,2,급속02,344,영통공영주차장
경기도 의정부시 의정부동 162-3 지상주차장,2,급속01,3416,의정부역환승공영주차장
경기도 포천시 일동면 화동로 1092 하나로마트주차장,2,급속01,3384,일동농협하나로마트
경기도 포천시 호국로 1518 체육관앞 지상주차장,2,급속01,3395,포천종합체육관
경기도 연천군 연천읍 문화로 510 운동장지상주차장,2,급속01,3415,연천군공설운동장
경기도 의정부시 녹양동 413 입구왼쪽,2,급속01,3431,녹양환승 공영주차장
경기도 파주시 금촌동 778 구내주차장 창고 옆,2,급속01,3451,농어촌공사 파주·고양지사
경기도 파주시 문산읍 문산리 31-44 구내주차장,2,급속01,3432,파주 차량등록사업소
경기도 용인시 처인구 유방동 475-20 지상주차장,2,급속01,2454,유림동주민센터
경기도 수원시 영통구 봉영로 1598 B2F B2,2,급속01,344,영통공영주차장
경기도 용인시 처인구 이동읍 송전리 750-3 지상주차장,2,급속01,2451,이동읍사무소
경기도 구리시 안골로 31 1층주차장(정문에서 좌측),2,급속01,35,구리지사(공용)
경기도 김포시 구래동 6872-5 지상주차장,2,급속01,2026,구래동 주민센터
경기도 용인시 수지구 포은대로 499 B1F 34,2,급속01,2463,아르피아주차장
경기도 이천시 관고동 355-10 제1주차장 지상,2,급속01,398,설봉공원주차장
경기도 구리시 안골로 31 1층주차장(정문에서 좌측),1,완속04,35,구리지사(공용)
경기도 용인시 수지구 법조로 232 B1F A6,2,급속01,2462,상현도서관
경기도 용인시 기흥구 흥덕1로 13 실내주차장,2,급속01,2461,영덕동주민센터
경기도 고양시 일산서구 일현로 97-27 지하2층 끝,2,급속01,2044,탄현역 환승공영주차장
경기도 화성시 향남읍 향남로 402 F4주차장,2,급속01,2063,홈플러스 화성향남점
경기도 수원시 팔달구 효원로 241 지상1F 주차장,2,급속02,229,수원시청
경기도 포천시 호국로 915 지상주차장2층,2,급속01,2034,이마트 포천점
경기도 고양시 덕양구 고양동 195-2 주차장 입구,2,급속01,3057,고양동 제1 공영주차장
경기도 안성시 당왕동 347-1 지상주차장,2,급속01,3370,농어촌공사 안성지사
경기도 부천시 도당동 185-148 고객주차장,2,급속02,39,부천지사
경기도 포천시 소흘읍 솔모루로 9 지상주차장 6층,2,급속01,2035,홈플러스 포천송우점
"경기도 수원시 팔달구 중부대로 120 본관 정면 지상주차장, 별관 후면 지상주차장",2,급속02,22,경기직할
경기도 구리시 안골로 31 1층주차장(정문에서 좌측),2,급속02,35,구리지사(공용)
경기도 용인시 처인구 마평동 703 지상주차장,2,급속01,2450,용인실내체육관
경기도 양주시 평화로 1713 지상주차장 2층,2,급속01,2033,이마트 양주점
경기도 성남시 성남대로 1342 아름관과 중앙도서관 사이 주차장,2,급속02,3369,가천대 글로벌캠퍼스
경기도 성남시 분당구 구미동 175 지상주차장,2,급속02,3045,LH경기지사
경기도 성남시 성남대로 1342 아름관과 중앙도서관 사이 주차장,2,급속01,3369,가천대 글로벌캠퍼스
경기도 성남시 분당구 구미동 175 지상주차장,2,급속01,3045,LH경기지사
경기도 용인시 처인구 역북동 504-1 지상주차장,2,급속01,2456,동부도서관
경기도 용인시 처인구 모현읍 초부리 산 22 숲속체험관 앞 지상주차장,2,급속01,2455,용인자연휴양림
경기도 김포시 고촌읍 신곡리 530-1 지하주차장,2,급속01,2077,고촌읍 주민센터
"경기도 수원시 팔달구 중부대로 120 본관 정면 지상주차장, 별관 후면 지상주차장",2,급속01,22,경기직할
경기도 용인시 기흥구 신갈로58번길 11 B2F 19,2,급속01,2460,신갈동주민센터
경기도 용인시 처인구 양지면 양지리 701-9 지상주차장,2,급속01,2452,양지면사무소
경기도 수원시 권선구 구운동 218-1 식자재 매장 앞 주차장,2,급속02,2598,수원유통센터
경기도 수원시 영통구 봉영로 1576 B1F 45,2,급속01,2056,홈플러스 영통점
경기도 양평군 강상면 교평리 396-1 주차장(정문에서 좌측),2,급속02,301,양평지사
경기도 의정부시 용민로 19번길 92 1층주차장(입구에서 좌측),2,급속02,298,경기북부직할
경기도 고양시 일산서구 고양대로 315 건설연구원 주차장(입구에서 우측),2,급속01,106,한국건설기술연구원
경기도 용인시 처인구 모현읍 왕산리 815-2 지상주차장,2,급속02,2061,모현농협 하나로마트
경기도 김포시 월곶면 군하리 435-14 입구부근 장애인주차장 부근,2,급속01,3104,김포시청소년수련원 주차장
경기도 수원시 영통구 중부대로 437 지상1.5F 주차장,2,급속01,2057,홈플러스 원천점
경기도 이천시 마장면 목리 444-8 이천휴게소(통영방향) 주차장,2,급속01,7,이천휴게소(통영방향)
경기도 광명시 철산로 3-13 본관 지상주차장,2,급속01,143,광명지사
경기도 고양시 덕양구 토당로 83 지상주차장,2,급속01,2042,능곡주민센터
경기도 파주시 와동동 1377 지상 1층,2,급속02,3869,파주지사 신사옥
경기도 파주시 와동동 1377 지상 1층,2,급속01,3869,파주지사 신사옥
경기도 의정부시 신곡동 124-1 1층 주차장,2,급속01,3857,의정부과학도서관
경기도 김포시 장기동 2083-1 주차장 차단기 앞,2,급속01,3819,한전김포지사
경기도 수원시 팔달구 우만동 산 6 P5주차장,2,급속01,3726,수원월드컵경기장
경기도 수원시 팔달구 우만동 산 6 P5주차장,2,급속02,3726,수원월드컵경기장
경기도 광주시 송정동 240-1 지상주차장(실외),2,급속01,3727,광주하남 교육지원청
경기도 화성시 향남읍 발안리 309 정문 출입구 우측,2,급속01,3729,화성시 보건소
경기도 화성시 안녕동 178-175 지상주차장,2,급속01,3733,남산공단
경기도 화성시 반송동 108 옥내 지상주차장,2,급속01,3732,동탄복합문화센터
경기도 용인시 수지구 죽전동 1285 지하 2층,2,급속02,3851,신세계 경기점
"경기도 화성시 효행로481번길 21 (안녕동, 융건릉) 지상주차장",2,급속01,3734,융건릉(1)
경기도 화성시 안녕동 186-27 지상주차장,2,급속01,3735,융건릉(2)
경기도 화성시 봉담읍 동화리 557 동화주차장 내,2,급속01,3738,동화주차장
경기도 성남시 수정구 복정동 688 지하1층,2,급속01,3741,노외주차장(복정제5)
경기도 화성시 우정읍 조암리 366-1 우정조암공영주차장,2,급속01,3743,조암주차장
경기도 화성시 향남읍 발안리 309 정문 출입구 우측,2,급속02,3729,화성시 보건소
경기도 화성시 안녕동 190-145 지상주차장,2,급속01,3736,안녕동공영주차장
경기도 송산면 사강리 687-8 송산주차장 내,2,급속01,3740,송산주차장
경기도 용인시 수지구 죽전동 1285 지하 2층,2,급속01,3851,신세계 경기점
경기도 광주시 장지동 214-7 주차장,2,급속01,3728,광주시 차량등록사업소
경기도 파주시 중앙로 87 금촌 통일시장 공영주차장 1층 창고옆,2,급속02,3745,금촌공영주차장
경기도 파주시 중앙로 87 금촌 통일시장 공영주차장 1층 창고옆,2,급속01,3745,금촌공영주차장
경기도 안산시 상록구 사동 1502 사이동커뮤니티센터 주차장,2,급속01,3737,사이동 커뮤니센터
경기도 화성시 옹진군 영흥면 내리 1656-2 장경리 주차장내,2,급속01,3739,장경리공영주차장
경기도 화성시 향남읍 장짐리 401-46 경기도 화성시 향남읍 장짐리401-9,2,급속01,3731,하가등천주차장
경기도 화성시 중동 165 주차장 내,2,급속01,3730,중리주차장
경기도 화성시 봉담읍 덕우리 278 덕우공단 공영주차장 내,2,급속01,4034,덕우공단 공영주차장
경기도 화성시 송산면 사강리 675 사강 공영주차장 내,2,급속01,4035,사강 공영주차장
경기도 하남시 덕풍동 336-55 지하1층,2,급속01,4062,덕풍수리골공원 공영주차장
경기도 시흥시 은행동 606-2 사옥 뒷문 주차장,2,급속01,3824,시흥지사
