addr,chargeTp,cpNm,csId,csNm
서울특별시 강서구 방화동 886 국제선 1층 버스정류장 도로변 끝,2,급속01,393,한국공항공사 서울
서울특별시 동작구 동작대로 19 주차장 입구 우측,2,급속01,19,관악동작지사
서울특별시 동작구 대방동 345-1 지하3층 좌측 주차장,2,급속01,342,서울시여성가족재단
서울특별시 송파구 신천동 29-5 송파구청 앞 지상 1층 주차장 직진 후 우측,2,급속01,108,송파구청
서울특별시 강동구 구천면로 42길 60(천호동) 지하1층 주차장 좌측 바로 앞,2,급속02,225,천호1동 공영주차장
서울특별시 종로구 삼청로 30 지하3층 주차장 6번 기둥,2,급속02,283,국립현대미술관 서울관
서울특별시 강남구 언주로 211 왼쪽 지상주차장 진입 후 100미터,2,급속01,336,강남세브란스 병원
서울특별시 서초구 서초동 산 130-19 음악당 콘서트홀 버스주차장 입구 좌측,2,급속01,340,예술의 전당
서울특별시 강남구 언주로 211 왼쪽 지상주차장 진입 후 100미터,2,급속02,336,강남세브란스 병원
서울특별시 중구 퇴계로 140 1층 주차장,2,급속01,11,서울전력관리처
서울특별시 구로구 구로동 741-44 지상주차장 좌측,2,급속01,395,구로4동 주택가 공동
서울특별시 중랑구 면목동 1081-1 사가정공원공영주차장내 지상,2,급속01,210,면목3동 공영주차장
서울특별시 강서구 방화동 886 국제선 1층 버스정류장 도로변 끝,2,급속04,393,한국공항공사 서울
서울특별시 마포구 월드컵로 240 경기장 서편 주차장,2,급속04,194,상암월드컵경기장
서울특별시 동대문구 회기동 1-1 회기공영주차장 내,2,급속02,209,회기동 공영주차장
서울특별시 중구 을지로 281 지하2층 주차장 진입 후 정면,2,급속01,282,동대문디자인플라자
서울특별시 중구 을지로 281 지하2층 주차장 진입 후 정면,2,급속02,282,동대문디자인플라자
서울특별시 종로구 삼청로 30 지하3층 주차장 6번 기둥,2,급속01,283,국립현대미술관 서울관
서울특별시 마포구 월드컵로 240 경기장 서편 주차장,2,급속05,194,상암월드컵경기장
서울특별시 마포구 월드컵로 240 경기장 서편 주차장,1,완속03,194,상암월드컵경기장
"서울특별시 중구 세종대로 110 (태평로1가, 서울시청) 지하4층 주차장",2,급속02,207,서울시청
"서울특별시 도봉구 도봉로 552 (창동, 도봉구민회관) 구민회관 지상주차장",2,급속01,211,도봉구민회관
서울특별시 한강대로 23길 55 4.5F층 달주차장,2,급속01,120,용산역 아이파크몰
서울특별시 한강대로 23길 55 4.5F층 달주차장,2,급속10,120,용산역 아이파크몰
서울특별시 한강대로 23길 55 4.5F층 달주차장,2,급속02,120,용산역 아이파크몰
서울특별시 한강대로 23길 55 4.5F층 달주차장,2,급속04,120,용산역 아이파크몰
서울특별시 한강대로 23길 55 4.5F층 달주차장,2,급속08,120,용산역 아이파크몰
서울특별시 한강대로 23길 55 4.5F층 달주차장,1,완속01,120,용산역 아이파크몰
서울특별시 송파구 성내천로43길 6 B동 1층 공영주차장 우측,2,급속01,680,마천동1공영주차장
서울특별시 서대문구 홍은중앙로 125 공영주차장,2,급속01,324,홍은1동 제4공영주차장
서울특별시 광진구 자양3동 510-8 건물 진입 전 좌측,1,완속01,216,뚝도충전소
서울특별시 한강대로 23길 55 4.5F층 달주차장,1,완속04,120,용산역 아이파크몰
서울특별시 한강대로 23길 55 4.5F층 달주차장,1,완속05,120,용산역 아이파크몰
서울특별시 한강대로 23길 55 4.5F층 달주차장,1,완속07,120,용산역 아이파크몰
서울특별시 강북구 미아동 190-1 지하 1층 주차장,1,완속06,10,강북성북지사(공용)
서울특별시 마포구 토정로37길 38 지상 주차장,2,급속01,13,마포용산지사
서울특별시 성동구 마장로27길 13 후문주차장,2,급속01,15,광진성동지사
서울특별시 서초구 내곡동 6-7 1층 주차장,2,급속01,2512,서울시립어린이병원
서울특별시 강동구 천호대로 1005 지하5층 주자장 출구방향 오른쪽 ,2,급속03,226,현대백화점 천호점
서울특별시 광진구 자양3동 510-8 건물 진입 전 좌측,2,급속01,216,뚝도충전소
서울특별시 송파구 양재대로 932 가락몰 지하3층 주차장 B3 s23,2,급속03,222,가락시장
서울특별시 은평구 갈현로7길 49 지상주차장,2,급속01,2543,서북병원
서울특별시 마포구 성산로 128 주차장 지하1층,2,급속02,2541,마포중앙도서관
서울특별시 성북구 안암동5가 1-2 (고려대학교안암캠퍼스) B3층 11번기둥,2,급속01,213,고려대학교
서울특별시 강동구 구천면로 395(명일동) 지하3층 주차장 안쪽 전기실 앞,2,급속02,224,명일동 공영주차장
서울특별시 강동구 천호대로 1005 지하5층 주자장 출구방향 오른쪽 ,2,급속01,226,현대백화점 천호점
서울특별시 강동구 둔촌동 522-9 정문주차장 좌측,2,급속01,16,강동송파지사
서울특별시 구로구 구로동 102 지하1층,2,급속01,3263,구로아트밸리 지하1층
서울특별시 송파구 삼전동 175-8 1층 좌측,2,급속01,3260,삼전동 공영주차장
서울특별시 송파구 거여동 195-1 주민센터 앞 지상,2,급속01,3259,거여2동 주민센터
서울특별시 금천구 독산동 152-1 철골 주차장 2층,2,급속01,3264,메이퀸 웨딩홀
서울특별시 송파구 가락동 154 주민센터 앞 지상,2,급속01,3261,가락2동 주민센터
서울특별시 성동구 사근동 110 한양대 한양종합기술연구원 주차장,2,급속01,3083,한양대학교
서울특별시 강남구 율현동 101-13 일방통행으로 반바퀴 돌면 있음,2,급속01,2508,헌릉로745길 노상주차장
서울특별시 강동구 양재대로 1571 지하3층,2,급속01,2051,홈플러스 강동점
서울특별시 강서구 방화동 886 국제선 1층 버스정류장 도로변 끝,2,급속03,393,한국공항공사 서울
서울특별시 용산구 용산동6가 11-426 지하주차장 B구역 B23기둥,2,급속03,3084,국립 중앙 박물관
서울특별시 노원구 공릉동 26-21 제3과학관 지하주차장,2,급속02,3067,삼육대학교
서울특별시 성동구 사근동 110 한양대 한양종합기술연구원 주차장,2,급속02,3083,한양대학교
서울특별시 마포구 월드컵로 240 경기장 서편 주차장,2,급속01,194,상암월드컵경기장
서울특별시 마포구 월드컵로 240 경기장 서편 주차장,1,완속02,194,상암월드컵경기장
서울특별시 한강대로 23길 55 4.5F층 달주차장,2,급속03,120,용산역 아이파크몰
서울특별시 한강대로 23길 55 4.5F층 달주차장,1,완속02,120,용산역 아이파크몰
서울특별시 한강대로 23길 55 4.5F층 달주차장,1,완속08,120,용산역 아이파크몰
서울특별시 동대문구 망우로 18나길 20 휘경중학교 옆 배봉공영주차장 내,2,급속01,284,배봉공영주차장
서울특별시 은평구 백련산로 90 옥외주차장,2,급속01,286,서울특별시은평병원 주차장
서울특별시 용산구 한남대로 80 한국타이어 한남점 사무실 앞,2,급속01,285,한국타이어 한남점
서울특별시 마포구 월드컵로 240 경기장 서편 주차장,1,완속01,194,상암월드컵경기장
서울특별시 용산구 용산동6가 11-426 지하주차장 B구역 B23기둥,2,급속01,3084,국립 중앙 박물관
서울특별시 양천구 신월동 263 지하1층 나 20기둥,2,급속01,2510,가로공원 공영주차장
서울특별시 영등포구 대림동 870 지하2층 우회전,2,급속01,3265,대림어린이공원 공영주차장
서울특별시 중랑구 동일로 862 별관앞 지상,2,급속01,12,동대문중랑지사
서울특별시 송파구 양재대로 932 가락몰 지하3층 주차장 B3 s23,2,급속01,222,가락시장
서울특별시 금천구 독산동 152-1 철골 주차장 2층,2,급속02,3264,메이퀸 웨딩홀
서울특별시 영등포구 대림동 780 지하1층 좌회전,2,급속01,3266,대림운동장 공영주차장
서울특별시 광진구 뚝섬로 52길 74 공영주차장 후면,2,급속02,290,자양2동유수지 공영주차장
서울특별시 용산구 한강로3가 12 지상주차장 오른쪽 끝,2,급속01,2542,용산전자상가1 공영주차장
서울특별시 양천구 목동 900 테니스장 앞 지상,2,급속04,2513,서울에너지공사 주차장
